学校,纬度,经度,电话,是否联系,基本信息,学生人数,
蓝田县城关中学,34.160045,109.325901,82753106,未,,300,
蓝田县初级中学,34.164675,109.324865,无,未,,240,
蓝田县焦岱中学,34.061375,109.260983,,,,360,
蓝田县洩湖中学,34.217539,109.240962,,,,230,
蓝田县华胥镇初级中学,34.230427,109.200654,,,,280,
蓝田县前卫中学,34.133569,109.233234,,,,350,
向阳中学,34.145186,109.337251,,,,260,
文姬中学,34.179944,109.314559,,,,500,
西安蓝田工业园高级中学,34.174103,109.318989,,,,400,
蓝田县辋川初级中学,34.059655,109.359142,,,,340,
陕西省西安市蓝田县三官庙镇金山初级中学,34.294693,109.393421,,,,300,
蓝田县白村初级中学,34.14221,109.290341,,,,400,
蓝田县三官庙镇初级中学,34.2587,109.428377,,,,600,
蓝桥镇泰中学,34.077822,109.470209,,,,270,
公王中学,34.186954,109.524125,,,,290,
玉山中学,34.203219,109.509498,,,,360,
蓝田县玉山镇许庙初中,34.206409,109.517996,,,,450,
史家寨乡初级中学,34.068558,109.17375,,,,360,
厚镇初中,34.261503,109.519327,,,,270,
草坪初级中学,33.963688,109.464978,,,,350,
蓝田县育才学校,34.13746,109.334624,,,,240,
前卫镇初级中学,34.125727,109.231068,,,,220,
北关实验中学,34.172427,109.320293,,,,290,
水陆庵中学,34.14317,109.414923,,,,280,
小寨乡初级中学,34.055265,109.285538,,,,270,
峣山中学,34.137462,109.359048,,,,260,
马楼初中,34.18784,109.466232,,,,230,
